# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-1.95835 102.55239
-1.86331 21.11723
-1.77089 1.14600
-1.50215 0.90080
-1.19324 0.16875
-1.11466 40.77127
-1.05460 106.81208
-1.02862 157.63115
-0.99751 232.59587
-0.96339 331.45394
-0.93554 423.19974
-0.92025 506.65268
-0.90487 574.42902
-0.88948 640.51059
-0.87408 704.89739
-0.85868 769.28419
-0.84337 848.92390
-0.80609 947.52488
-0.76548 1013.24449
-0.69438 983.52132
-0.67029 905.96411
-0.64619 825.86475
-0.63266 755.51989
-0.61652 689.40956
-0.60037 619.90969
-0.58169 569.04987
-0.57346 508.03103
-0.55734 445.31023
-0.54123 384.28420
-0.51874 308.67741
-0.49317 246.96484
-0.43764 185.05547
-0.33474 106.15527
-0.28814 228.13542
-0.26497 777.21628
-0.25031 972.10022
-0.23305 1636.43010
-0.23106 1283.91835
-0.20348 1982.13400
-0.15868 2421.88315
-0.14550 2879.45613
-0.13292 3441.25734
-0.13257 3380.24569
-0.12015 3970.01057
-0.11966 3883.57740
-0.10714 4458.08937
-0.10680 4397.07772
-0.10645 4336.06608
-0.10601 4257.25936
-0.09351 4834.31349
-0.09316 4773.30184
-0.09282 4712.29019
-0.09237 4633.48348
-0.07959 5159.69456
-0.07924 5098.68291
-0.07855 4976.65962
-0.06624 5586.76171
-0.02013 5795.17503
0.01379 5373.14903
0.03172 4989.26970
0.04976 4587.59530
0.06821 4112.19849
0.06853 4056.27115
0.08656 3654.59675
0.08705 3568.16358
0.10486 3207.16361
0.10520 3146.15196
0.10555 3085.14032
0.12298 2790.23630
0.12333 2729.22465
0.12367 2668.21301
0.12402 2607.20136
0.14116 2363.14038
0.14151 2302.12873
0.14185 2241.11709
0.14230 2162.31037
0.15928 1946.21307
0.15963 1885.20142
0.16007 1806.39471
0.17741 1529.28576
0.17787 1447.93690
0.19504 1198.79162
0.21215 959.81495
0.22917 738.63334
0.24567 608.96921
0.27153 217.45622
0.30076 158.11297
0.33373 88.25881
0.41429 58.86597
0.49427 131.83712
0.53168 207.05030
0.56586 295.48555
0.59379 373.50372
0.60916 444.24591
0.62456 508.63271
0.63996 571.32474
0.65843 650.28367
0.68629 741.77525
0.70952 814.45923
0.75453 939.99982
0.81896 974.51412
0.86401 906.68265
0.89074 825.73351
0.90691 754.11518
0.92304 689.69961
0.94440 628.66879
0.96051 567.64275
0.97662 506.61672
0.99273 445.59069
1.01545 376.93221
1.03554 308.27613
1.06752 228.16958
1.10581 147.54884
1.13925 87.01542
1.21837 33.55831
1.27363 18.25506
1.49645 -1.83515
1.70709 23.79122
1.78566 68.63066
1.84047 131.28674
1.87953 193.10981
1.91857 257.89873
1.94965 337.94776
1.98072 419.26785
2.01177 501.85903
2.04281 589.53451
2.07392 663.22815
2.10507 729.29534
2.15984 799.57787
2.23084 788.49715
2.27089 674.48805
2.31583 625.72272
2.34251 554.94218
2.37452 468.48025
2.40655 379.47616
2.43852 301.91176
2.47041 237.48181
2.51814 159.47934
2.57372 88.24874
2.65280 40.72332
2.74743 32.16319
2.84178 72.75132
2.92027 131.14890
2.97513 186.17852
3.02207 248.84179
3.06900 311.50506
3.11592 377.55786
3.16283 443.61067
3.20979 502.88440
3.27248 566.80436
3.35899 600.19692
3.45373 572.14695
3.54077 511.39515
3.61206 449.55614
3.69123 387.20150
3.78609 337.11955
3.92817 300.55259
4.02275 300.46630
4.11733 300.38000
4.19615 300.30808
4.43254 310.26095
4.52713 309.32727
4.62171 310.08836
4.71629 309.15468
4.81087 309.91577
4.90545 309.82947
5.00003 309.74317
5.09461 309.65688
5.18919 309.57058
5.28377 309.48428
5.37835 309.39799
5.47293 309.31169
5.56752 309.22539
5.66210 309.13910
5.75668 309.05280
5.85126 308.96650
5.94584 308.88021
6.00101 308.82987

