# https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.0c04094
# Distance(A) ElectronDensity
-0.15996 3205.37152
-0.15748 3603.97664
-0.15714 3542.96499
-0.15679 3481.95334
-0.15645 3420.94170
-0.15610 3359.93005
-0.15576 3298.91840
-0.15029 3725.99274
-0.14995 3664.98110
-0.14483 4153.06709
-0.14448 4092.05544
-0.14414 4031.04379
-0.14379 3970.03215
-0.14345 3909.02050
-0.14310 3848.00885
-0.14275 3786.99720
-0.13763 4275.08319
-0.13331 4206.44149
-0.13133 4554.71272
-0.13099 4493.70107
-0.13064 4432.68943
-0.13030 4371.67778
-0.12995 4310.66613
-0.12434 4712.31896
-0.12075 4634.01780
-0.11805 4991.94848
-0.11770 4930.93684
-0.11735 4869.92519
-0.11701 4808.91354
-0.11666 4747.90189
-0.11106 5149.55472
-0.10748 5075.32100
-0.10444 5373.25690
-0.10409 5312.24525
-0.10375 5251.23361
-0.10340 5190.22196
-0.09705 5460.95395
-0.06483 5895.88452
-0.00994 5388.42352
-0.00960 5327.41187
-0.00925 5266.40022
-0.00891 5205.38857
-0.00773 5461.29614
-0.00071 5149.45404
0.00809 4986.74912
0.00844 4925.73747
0.00878 4864.72582
0.01028 5064.70605
0.01315 4789.72874
0.02532 4727.43523
0.02567 4666.42358
0.02601 4605.41194
0.02636 4544.40029
0.02670 4483.38864
0.02705 4422.37699
0.03176 4286.36826
0.03532 4352.88431
0.04393 4224.07475
0.04428 4163.06310
0.04462 4102.05146
0.04497 4041.03981
0.04531 3980.02816
0.04566 3919.01651
0.05035 3786.82101
0.05391 3854.60814
0.06252 3725.79858
0.06286 3664.78693
0.06321 3603.77528
0.06355 3542.76363
0.06390 3481.75199
0.06424 3420.74034
0.07249 3356.33196
0.07282 3297.01508
0.08107 3232.60671
0.08141 3171.59506
0.08176 3110.58341
0.08211 3049.57176
0.08245 2988.56011
0.08720 2846.19601
0.09076 2912.28836
0.09939 2780.08927
0.09974 2719.07762
0.10008 2658.06597
0.10043 2597.05432
0.10077 2536.04268
0.10112 2475.03103
0.10545 2406.38933
0.11815 2251.30727
0.11849 2190.29562
0.11884 2129.28397
0.11918 2068.27232
0.12035 2325.87466
0.12352 1998.35955
0.13624 1839.46426
0.13659 1778.45261
0.13693 1717.44097
0.13846 1912.33689
0.14519 1651.33782
0.14546 1603.03693
0.15367 1544.56025
0.15402 1483.54860
0.15436 1422.53695
0.15471 1361.52530
0.15904 1292.88360
0.17180 1127.63294
0.17401 1200.50556
0.17611 1061.53339
0.18885 898.82487
0.19106 973.39227
0.19318 830.18317
0.20813 742.88944
0.20991 659.84461
0.21963 566.62398
0.23610 442.89153
0.23830 517.45892
0.25223 376.78119
0.26836 312.36563
0.31536 231.21641
0.38946 268.19139
0.41274 334.26577
0.43072 405.42925
0.45151 446.08450
0.46689 513.43715
0.48216 601.97439
0.49751 674.83503
0.51288 744.30614
0.52046 796.83675
0.54363 881.97727
0.57461 977.27921
0.62937 1050.10389
0.69019 981.41065
0.71695 895.80090
0.73315 818.67457
0.74928 752.56424
0.76545 681.36960
0.78162 610.17496
0.79778 538.98032
0.81395 467.78568
0.83009 401.67535
0.84623 333.87024
0.87827 243.59508
0.91029 155.86207
0.95801 81.24913
1.02929 20.17276
1.12400 -2.79290
1.21859 -5.42135
1.31318 -7.20242
1.40776 -7.28871
1.50234 -7.37501
1.59689 -0.68223
1.69145 1.77362
1.78603 2.53471
1.88056 10.92225
1.97496 43.03655
2.04554 105.67824
2.09244 175.12058
2.12354 251.35638
2.14933 336.07081
2.17014 373.33652
2.18036 424.16998
2.20081 523.29473
2.23171 635.12065
2.26265 738.04904
2.29363 834.62205
2.32470 915.51846
2.38757 947.66152
2.44053 874.73855
2.46720 803.95802
2.49925 712.41178
2.53132 617.05231
2.56343 514.06639
2.59544 427.60446
2.63369 353.59332
2.71440 298.27053
2.79301 334.63613
2.84777 406.61343
2.89462 484.52961
2.93363 555.67391
2.97267 621.73390
3.02746 687.77951
3.10609 721.60296
3.18513 681.28031
3.24068 614.71032
3.28836 546.87645
3.33601 482.43212
3.39156 415.43845
3.47070 359.43919
3.56547 324.61015
3.66010 316.05001
3.75468 315.96371
3.84927 315.87742
3.94385 315.79112
4.03840 319.94174
4.13300 316.46591
4.22753 325.70084
4.32211 325.61454
4.41669 325.52825
4.51127 325.44195
4.60586 325.35565
4.70044 325.26936
4.79502 325.18306
4.88960 325.09676
4.98418 325.01047
5.07876 324.92417
5.17334 324.83787
5.26792 324.75158
5.36250 324.66528
5.45708 324.57898
5.55167 324.49269
5.64625 324.40639
5.74083 324.32009
5.83541 324.23380
5.92999 324.14750
5.99304 324.08997

